dia,Q_min_diario,Q_max_diario,Q_prom_diario,Varianza_diaria
2025-01-01,91.8,222.40800000000002,156.48775,41.15245017431708
2025-01-02,101.916,242.676,191.43525,42.71725395162744
2025-01-03,5.724,234.9,166.09550000000002,56.75713907912864
2025-01-04,105.98400000000001,239.976,173.26625,36.37157541892496
2025-01-05,87.768,228.492,160.92925000000002,38.8707764692407
2025-01-06,91.116,241.63200000000003,184.66825,45.841827323489696
2025-01-07,114.408,246.708,192.41150000000002,45.06170871305109
2025-01-08,129.27599999999998,248.72400000000002,201.61925000000002,34.50128357752075
2025-01-09,110.376,250.092,187.82625,36.50596011257966
2025-01-10,87.084,242.676,187.065,50.66277106763655
2025-01-11,116.10000000000001,240.984,190.7905,37.5197816412302
2025-01-12,110.01599999999999,236.23200000000003,178.39183216783215,39.23120270906569
2025-01-13,121.5,247.716,194.6395,42.03045011364077
2025-01-14,108.68400000000001,237.27599999999998,176.78675,33.5524693901183
2025-01-15,66.816,236.592,185.5875,35.706081363678756
2025-01-16,126.21600000000001,244.368,191.2355,37.897548453286944
2025-01-17,99.57600000000001,238.284,184.334,45.408761824801374
2025-01-18,17.568,239.292,177.1155,51.42561299178082
2025-01-19,64.476,254.12400000000002,195.80025,59.11255573222837
2025-01-20,62.424,251.1,190.64875,48.73330260815393
2025-01-21,94.824,239.616,194.26125,40.139318686400145
2025-01-22,96.51599999999999,238.968,178.16425,44.09639255617781
2025-01-23,16.884,227.12400000000002,168.12125874125874,49.19328695624375
2025-01-24,42.192,228.168,170.9375,48.929588619091895
2025-01-25,37.800000000000004,230.508,155.45075,45.854098166361865
2025-01-26,24.984,231.51600000000002,162.834,56.253602200743025
2025-01-27,67.824,231.876,167.25300000000001,39.61353773683906
2025-01-28,65.124,235.90800000000002,165.04225352112675,47.63429364438087
2025-01-29,39.492000000000004,245.01600000000002,171.53797183098592,59.03835982796705
2025-01-30,28.008000000000003,233.56799999999998,195.80869565217392,42.326882361117136
2025-01-31,4.716,255.492,169.02550000000002,72.35286268769809
2025-02-01,27.324,265.284,186.19351048951052,71.64527175545933
2025-02-02,43.884,266.976,185.439,62.449835072987646
2025-02-03,23.291999999999998,272.7,162.2945,68.34584270228376
2025-02-04,37.800000000000004,254.12400000000002,158.59191366906475,53.120769006280234
2025-02-05,61.776,251.784,162.77286713286713,41.17434906713085
2025-02-06,23.976000000000003,213.3,134.54875,40.965390166450405
2025-02-07,67.5,268.632,158.387,41.99440632081567
2025-02-08,51.300000000000004,278.784,162.48184615384616,48.03649273301331
2025-02-09,74.592,271.692,184.42675,55.07659050133506
2025-02-10,47.916000000000004,272.376,180.03300000000002,68.9196214179359
2025-02-11,45.9,249.084,179.10503496503497,59.862843466369405
2025-02-12,52.992000000000004,294.984,175.33925,64.97072822632313
2025-02-13,0.0,258.876,149.94125,104.52788222398257
2025-02-14,51.624,257.83200000000005,167.275,51.470155164088865
2025-02-15,104.616,271.00800000000004,176.1225,48.170342043786526
2025-02-16,12.168,253.116,148.6163076923077,60.94375568577766
2025-02-17,25.308,237.27599999999998,155.0147323943662,54.297518169830376
2025-02-18,4.392,294.624,148.983,75.56406500595227
2025-02-19,5.076,282.492,140.65859154929578,66.7027639083216
2025-02-20,0.0,273.708,149.41622535211266,70.53105266973279
2025-02-21,0.0,258.516,147.88575,59.57380054314015
2025-02-22,0.0,292.608,157.236,91.8815657382779
2025-02-23,0.0,267.984,169.41,77.22291676236212
2025-02-24,0.0,274.392,153.82250000000002,74.3348296327601
2025-02-25,6.768,283.176,148.30625,54.779839804949646
2025-02-26,96.51599999999999,289.908,194.2653146853147,57.291646970298295
2025-02-27,25.308,237.924,128.20783216783218,49.16837703039038
2025-02-28,0.684,241.30800000000002,143.87462937062938,71.77375720046658
2025-03-01,2.8800000000000003,258.84000000000003,162.84,56.924293632810276
2025-03-02,0.0,290.88,171.1283916083916,83.47298051204278
2025-03-03,23.759999999999998,234.72000000000003,151.6632167832168,43.135232202748924
2025-03-04,0.0,247.68,158.4176223776224,59.35344647441803
2025-03-05,47.16,231.84000000000003,150.74433566433567,41.14977795979048
2025-03-06,0.0,241.20000000000002,145.512,62.19932613389628
2025-03-07,0.0,247.68,167.27,62.80403808673454
2025-03-08,0.0,282.96,150.40394366197182,76.77434209549038
2025-03-09,59.4,267.48,163.44251748251747,51.297878322384946
2025-03-10,0.0,218.52,125.98237762237763,46.62960303084451
2025-03-11,0.0,220.68,121.83063829787233,52.60748227897361
2025-03-12,16.2,260.28,168.61531914893618,60.44101098891133
2025-03-13,80.316,250.41600000000003,163.78075,42.36810818540035
2025-03-14,99.216,240.3,168.88455944055946,38.32880748148091
2025-03-15,47.232,264.6,178.1342937062937,74.00963806209394
2025-03-16,0.0,302.40000000000003,186.25750000000002,93.21292532225816
2025-03-17,0.0,239.292,150.08727272727273,46.4397867487585
2025-03-18,0.0,304.416,141.47214084507044,68.78052394367056
2025-03-19,0.0,216.324,144.63760563380282,57.126993800853946
2025-03-20,29.7,244.368,158.0465,51.70808279379338
2025-03-21,4.716,250.092,173.6349928057554,55.41756201122586
2025-03-22,6.768,272.376,146.77094117647061,61.055943701416865
2025-03-23,26.316,273.708,179.10481690140847,64.72706324016825
2025-03-24,71.20800000000001,266.29200000000003,176.4235,51.73165606895223
2025-03-25,16.884,256.5,168.32484507042253,43.9976212969682
2025-03-26,16.524,225.108,131.4728,41.92453300602327
2025-03-27,9.432,233.208,110.51591489361702,56.16866539062625
2025-03-28,10.8,234.9,158.3771142857143,58.426733061551865
