datetime,Q_in
2025-01-02 01:50:00,158.976
2025-01-02 02:00:00,138.708
2025-01-02 02:10:00,136.36800000000002
2025-01-02 02:20:00,138.384
2025-01-02 02:30:00,130.608
2025-01-02 02:40:00,119.808
2025-01-02 02:50:00,129.27599999999998
2025-01-02 03:00:00,127.58399999999999
2025-01-02 03:10:00,121.82400000000001
2025-01-02 03:20:00,127.58399999999999
2025-01-02 03:30:00,132.984
2025-01-02 03:40:00,137.376
2025-01-02 03:50:00,132.3
2025-01-02 04:00:00,141.084
2025-01-02 04:10:00,145.8
2025-01-02 04:20:00,124.884
2025-01-02 04:30:00,120.492
2025-01-02 04:40:00,119.808
2025-01-02 04:50:00,113.4
2025-01-02 05:00:00,127.908
2025-01-02 05:10:00,120.492
2025-01-02 05:20:00,106.308
2025-01-02 05:30:00,101.916
2025-01-02 05:40:00,108.0
2025-01-02 05:50:00,118.11600000000001
2025-01-02 06:00:00,120.168
2025-01-02 06:10:00,131.976
2025-01-02 06:20:00,124.2
2025-01-02 06:30:00,135.0
2025-01-02 06:40:00,129.924
2025-01-02 06:50:00,134.316
2025-01-02 07:00:00,137.70000000000002
2025-01-02 07:10:00,128.232
2025-01-02 07:20:00,139.392
2025-01-02 07:30:00,146.80800000000002
2025-01-02 07:40:00,155.232
2025-01-02 07:50:00,157.608
2025-01-02 08:00:00,151.884
2025-01-02 08:10:00,158.616
2025-01-02 08:20:00,157.96800000000002
2025-01-02 08:30:00,154.90800000000002
2025-01-02 08:40:00,162.684
2025-01-02 08:50:00,171.792
2025-01-02 09:00:00,165.02400000000003
2025-01-02 09:10:00,165.384
2025-01-02 09:20:00,162.324
2025-01-02 09:30:00,168.084
2025-01-02 09:40:00,161.676
2025-01-02 09:50:00,187.992
2025-01-02 10:00:00,194.4
2025-01-02 10:10:00,192.708
2025-01-02 10:20:00,195.084
2025-01-02 10:30:00,199.476
2025-01-02 10:40:00,202.824
2025-01-02 10:50:00,194.076
2025-01-02 11:00:00,191.376
2025-01-02 11:10:00,200.80800000000002
2025-01-02 11:20:00,207.576
2025-01-02 11:30:00,213.3
2025-01-02 11:40:00,199.116
2025-01-02 11:50:00,215.316
2025-01-02 12:00:00,219.02400000000003
2025-01-02 12:10:00,238.608
2025-01-02 12:20:00,219.02400000000003
2025-01-02 12:30:00,228.168
2025-01-02 12:40:00,230.184
2025-01-02 12:50:00,233.892
2025-01-02 13:00:00,227.12400000000002
2025-01-02 13:10:00,223.77599999999998
2025-01-02 13:20:00,225.108
2025-01-02 13:30:00,210.6
2025-01-02 13:40:00,223.77599999999998
2025-01-02 13:50:00,231.51600000000002
2025-01-02 14:00:00,226.8
2025-01-02 14:10:00,229.824
2025-01-02 14:20:00,225.792
2025-01-02 14:30:00,238.968
2025-01-02 14:40:00,233.892
2025-01-02 14:50:00,231.876
2025-01-02 15:00:00,232.884
2025-01-02 15:10:00,234.216
2025-01-02 15:20:00,234.576
2025-01-02 15:30:00,234.216
2025-01-02 15:40:00,227.12400000000002
2025-01-02 15:50:00,232.884
2025-01-02 16:00:00,235.584
2025-01-02 16:10:00,235.90800000000002
2025-01-02 16:20:00,240.3
2025-01-02 16:30:00,242.676
2025-01-02 16:40:00,229.824
2025-01-02 16:50:00,236.23200000000003
2025-01-02 17:00:00,233.892
2025-01-02 17:10:00,236.592
2025-01-02 17:20:00,230.83200000000002
2025-01-02 17:30:00,230.83200000000002
2025-01-02 17:40:00,232.52400000000003
2025-01-02 17:50:00,232.884
2025-01-02 18:00:00,237.27599999999998
2025-01-02 18:10:00,228.816
2025-01-02 18:20:00,223.092
2025-01-02 18:30:00,230.83200000000002
2025-01-02 18:40:00,225.432
2025-01-02 18:50:00,228.492
2025-01-02 19:00:00,234.216
2025-01-02 19:10:00,233.892
2025-01-02 19:20:00,233.56799999999998
2025-01-02 19:30:00,228.816
2025-01-02 19:40:00,226.476
2025-01-02 19:50:00,225.792
2025-01-02 20:00:00,227.12400000000002
2025-01-02 20:10:00,228.816
2025-01-02 20:20:00,233.56799999999998
2025-01-02 20:30:00,234.9
2025-01-02 20:40:00,223.41600000000003
2025-01-02 20:50:00,226.116
2025-01-02 21:00:00,237.27599999999998
2025-01-02 21:10:00,232.52400000000003
2025-01-02 21:20:00,230.508
2025-01-02 21:30:00,229.5
2025-01-02 21:40:00,230.83200000000002
2025-01-02 21:50:00,237.27599999999998
2025-01-02 22:00:00,200.12400000000002
2025-01-02 22:10:00,193.716
2025-01-02 22:20:00,192.708
2025-01-02 22:30:00,206.892
2025-01-02 22:40:00,212.976
2025-01-02 22:50:00,209.592
2025-01-02 23:00:00,217.36800000000002
2025-01-02 23:10:00,218.70000000000002
2025-01-02 23:20:00,223.41600000000003
2025-01-02 23:30:00,220.716
2025-01-02 23:40:00,209.592
2025-01-02 23:50:00,212.292
2025-01-03 00:00:00,215.676
2025-01-03 00:10:00,219.708
2025-01-03 00:20:00,203.832
2025-01-03 00:30:00,203.508
